MUNICIPIO;1 Dose (D1);2 Dose (D2);3 Dose (D3);Reforço Bivalente;1 Reforço;2 Reforço;3 Reforço;Dose Única* (DU);Dose Adicional** (DA)
ADAMANTINA;32378;30878;135;3940;22495;9485;20;685;87
ADOLFO;4459;4371;85;1231;3764;2044;7;76;18
AGUAI;32553;30820;419;6557;22304;11073;35;861;64
AGUAS DA PRATA;7407;7220;44;1340;5219;2534;5;165;22
AGUAS DE LINDOIA;17954;16828;64;1836;11432;3960;17;313;38
AGUAS DE SANTA BARBARA;6135;5753;29;1403;3748;1591;6;112;15
AGUAS DE SAO PEDRO;3900;3823;15;778;3272;2086;463;55;14
AGUDOS;36640;33779;79;2824;21476;8749;604;534;61
ALAMBARI;5463;5246;41;985;3834;1915;13;143;7
ALFREDO MARCONDES;4364;4310;13;701;3503;1686;370;78;7
ALTAIR;3381;3329;57;503;2837;1444;3;109;17
ALTINOPOLIS;15788;15283;72;3128;11399;5243;17;344;39
ALTO ALEGRE;3706;3583;2;357;2575;1048;2;83;2
ALUMINIO;16501;15996;87;3330;12563;6423;113;483;41
ALVARES FLORENCE;3826;3757;70;753;2863;1103;6;73;4
ALVARES MACHADO;22790;21496;67;3069;15075;6786;38;462;67
ALVARO DE CARVALHO;6305;6351;30;2954;5472;3781;161;172;34
ALVINLANDIA;2866;2745;12;406;1886;762;1;62;3
AMERICANA;216255;201018;798;31391;130571;56936;471;4437;613
AMERICO BRASILIENSE;33156;31570;242;6959;24014;11376;46;943;130
AMERICO DE CAMPOS;5449;5317;28;894;4414;1813;10;117;13
AMPARO;67672;64653;274;9898;45552;20627;94;1350;262
ANALANDIA;4260;3988;20;440;2488;958;3;82;19
ANDRADINA;53314;50228;167;5853;36208;15588;25;1004;165
ANGATUBA;22767;21548;453;6315;14996;7278;39;443;57
ANHEMBI;6185;5812;59;1173;4289;2045;8;119;11
ANHUMAS;3760;3708;30;581;2395;943;11;64;10
APARECIDA;32215;29475;160;4996;18686;8424;145;771;140
APARECIDA D'OESTE;4192;4149;56;982;3391;1629;6;70;20
APIAI;23672;22212;231;4386;16371;6994;25;441;41
ARACARIGUAMA;21038;19558;123;3165;12714;5477;35;437;39
ARACATUBA;186148;174716;871;26839;119573;53757;266;3535;609
ARACOIABA DA SERRA;31225;29375;103;6799;22744;11471;47;640;58
ARAMINA;5071;5028;28;594;3940;1960;4;117;11
ARANDU;6669;6387;176;2103;5084;2272;9;144;14
ARAPEI;2329;2253;7;191;1656;530;3;50;5
ARARAQUARA;228876;216959;1156;50041;160939;83209;519;4981;936
ARARAS;123162;116929;850;22844;86294;42115;193;2943;319
ARCO-IRIS;2008;1991;24;348;1603;616;3;29;16
AREALVA;7903;7563;38;1193;5684;2481;4;161;10
AREIAS;3726;3481;49;603;2448;787;2;52;6
AREIOPOLIS;9160;8724;53;1508;6414;2481;44;257;36
ARIRANHA;7409;7206;24;917;5473;2346;1;211;14
ARTUR NOGUEIRA;47988;45307;216;5752;29300;11688;103;1163;110
ARUJA;82084;78084;639;18189;53436;23010;190;1802;256
ASPASIA;1845;1745;18;131;1272;519;1;17;5
ASSIS;92923;87000;267;15131;59705;26616;2075;1826;246
ATIBAIA;150866;141003;1807;37160;104574;52036;507;2820;659
AURIFLAMA;12265;11723;34;1110;8188;3442;3;315;24
AVAI;5165;5035;129;1492;4105;2104;0;34;17
AVANHANDAVA;11030;10479;21;2072;7511;3460;10;190;23
AVARE;88735;83500;694;20208;62987;29645;171;1720;323
BADY BASSITT;19784;19106;134;2921;12436;5539;61;334;55
BALBINOS;4801;4742;8;2533;4397;3301;20;58;49
BALSAMO;8582;8522;96;1635;6229;2910;16;210;20
BANANAL;9651;8907;19;515;5904;2050;38;196;13
BARAO DE ANTONINA;3510;3371;36;955;2549;1323;10;37;12
BARBOSA;6140;5711;24;730;4066;1803;21;85;12
BARIRI;28421;26597;54;1829;16988;5765;15;559;40
BARRA BONITA;32546;32094;316;7165;26034;12868;6;890;115
BARRA DO CHAPEU;5340;5160;51;626;3623;1372;8;110;11
BARRA DO TURVO;7302;6634;41;899;3803;1338;9;72;0
BARRETOS;117670;110468;447;21448;81690;41422;239;2319;401
BARRINHA;29659;27597;215;4889;19122;7308;37;719;44
BARUERI;291830;274474;4176;66528;201133;96504;771;5393;1091
BASTOS;21164;20494;135;3545;15280;5598;10;453;42
BATATAIS;56975;53838;163;11383;44704;26383;186;1169;238
BAURU;359279;334907;1630;79978;228275;114682;642;6137;1389
BEBEDOURO;71522;67601;175;10674;47830;22875;201;1342;292
BENTO DE ABREU;2455;2409;9;251;1949;889;67;70;12
BERNARDINO DE CAMPOS;11757;11181;21;2699;8446;4596;16;200;30
BERTIOGA;67624;61398;349;11688;37734;16238;90;1191;155
BILAC;7026;6735;20;1264;5059;2353;15;162;31
BIRIGUI;107971;99836;333;14510;65510;29057;112;2473;272
BIRITIBA MIRIM;28958;27091;292;6105;17615;8638;69;706;111
BOA ESPERANCA DO SUL;12764;12225;73;2134;9285;4659;5;368;35
BOCAINA;10421;10237;39;1048;7870;3446;6;297;23
BOFETE;10221;9658;95;2770;7082;3060;29;247;26
BOITUVA;56730;53048;285;8612;36022;16324;139;1274;143
BOM JESUS DOS PERDOES;23243;21604;63;3504;14429;5900;13;553;34
BOM SUCESSO DE ITARARE;3915;3806;167;953;3045;977;18;70;9
BORA;929;880;3;25;579;230;48;9;1
BORACEIA;4548;4283;18;370;2753;1090;5;85;6
BORBOREMA;13834;13448;102;1449;9605;3889;37;337;39
BOREBI;2424;2304;5;242;1212;407;1;32;6
BOTUCATU;155959;149565;784;40797;121374;66728;9610;22;50
BRAGANCA PAULISTA;172144;161555;828;35732;120558;58146;619;3944;715
BRAUNA;4996;4697;12;491;2995;1307;3;96;18
BREJO ALEGRE;2527;2438;18;470;1709;851;6;59;4
BRODOWSKI;23435;21905;88;3300;15676;7045;29;523;49
BROTAS;22419;21290;196;3767;14582;5705;20;492;40
BURI;19377;18446;98;2824;12457;5550;54;438;37
BURITAMA;15997;15347;61;2546;11675;5890;999;359;91
BURITIZAL;3928;3627;16;287;2732;1431;33;71;15
CABRALIA PAULISTA;4153;4028;23;598;2768;950;7;84;9
CABREUVA;48605;45269;242;7178;27530;10564;42;891;68
CACAPAVA;90652;83647;586;17017;58731;28376;160;2541;180
CACHOEIRA PAULISTA;28357;26085;144;4018;17072;7732;65;617;116
CACONDE;17305;15917;56;2567;11187;4352;20;306;39
CAFELANDIA;15846;14705;48;2700;10709;5366;20;305;32
CAIABU;3579;3395;8;224;2291;823;15;48;6
CAIEIRAS;89655;85281;531;21895;65445;34893;513;2266;322
CAIUA;7374;7283;22;2377;6015;3309;19;89;24
CAJAMAR;87360;84644;783;12928;60394;25728;174;2324;338
CAJATI;27924;25840;113;3332;16053;6091;30;526;38
CAJOBI;8841;8513;37;1182;6754;2983;6;252;30
CAJURU;23326;21303;125;3677;14557;7006;26;399;65
CAMPINA DO MONTE ALEGRE;5959;5762;23;1094;4269;2110;18;113;19
CAMPINAS;1109422;1052852;8554;237450;727038;343704;2418;23832;4180
CAMPO LIMPO PAULISTA;74626;69747;459;14777;45631;20612;101;1779;228
CAMPOS DO JORDAO;48276;46693;307;9964;31673;14598;56;1198;230
CAMPOS NOVOS PAULISTA;4601;4397;39;775;3099;1373;14;89;9
CANANEIA;12362;11612;54;2267;7713;3582;16;210;36
CANAS;4223;3812;2;32;2253;643;1;85;0
CANDIDO MOTA;27531;26189;82;3310;19127;8774;1649;537;67
CANDIDO RODRIGUES;2786;2749;37;453;2409;1366;2;55;22
CANITAR;5059;4854;63;537;3390;1296;4;123;9
CAPAO BONITO;44955;43273;771;11565;32849;16511;164;898;106
CAPELA DO ALTO;22450;21296;105;5452;14644;7508;185;485;48
CAPIVARI;47613;45226;239;6469;30616;13570;234;1143;137
CARAGUATATUBA;122596;112326;511;23586;71928;32564;210;2065;359
CARAPICUIBA;388365;355570;2197;72972;227523;110092;663;8980;869
CARDOSO;11346;10889;34;2241;8229;4293;19;236;39
CASA BRANCA;28166;25759;128;5510;17544;8549;52;903;42
CASSIA DOS COQUEIROS;2662;2596;15;557;2014;1076;7;50;10
CASTILHO;18633;17575;35;2548;13353;5637;16;486;52
CATANDUVA;107862;101588;330;10874;66310;26943;97;1858;383
CATIGUA;6958;6785;38;1125;5097;2467;13;161;31
CEDRAL;10064;9516;45;1462;6479;2698;2;192;24
CERQUEIRA CESAR;22436;21660;117;6861;17262;7467;25;501;66
CERQUILHO;43342;41724;388;8524;31867;15716;179;1198;135
